CAHPS01,CAHPS04,CAHPS03,CAHPS02,CAHPS21,CAHPS10,CAHPS05,CAHPS12,CAHPS11,CAHPS22,CAHPS06,CAHPS14,CAHPS07,CAHPS23,CAHPS08,CAHPS09,CAHPS15,CAHPS13,CAHPS20,CAHPS19,CAHPS24,CAHPS18,CAHPS16,CAHPS17,Q100,StartDate 
5,2,7,3,4,7,4,9,5,1,7,10,1,1,3,7,9,1,4,6,4,7,7,5,5,2019-10-23
5,5,1,0,4,9,10,0,6,5,3,8,9,3,3,7,4,3,1,0,4,6,6,4,9,2019-10-01
3,7,7,3,4,8,0,8,3,0,8,7,5,9,9,10,2,8,0,8,7,1,9,0,5,2019-10-05
6,1,1,4,8,7,5,3,3,7,2,8,6,3,4,6,9,7,2,2,8,5,8,6,7,2019-10-13
8,7,6,1,1,9,9,6,6,1,2,5,8,4,5,0,4,10,4,0,0,4,8,6,4,2019-10-05
9,5,4,3,0,8,1,8,5,5,8,7,4,4,1,8,7,6,5,3,2,5,9,9,5,2019-10-10
6,4,1,2,2,0,3,9,5,9,2,7,6,8,2,8,3,1,7,5,9,2,10,7,5,2019-10-26
5,4,7,5,7,4,8,4,4,1,4,1,8,3,9,9,2,9,2,3,4,8,7,10,10,2019-10-03
9,3,7,6,2,9,8,7,9,8,2,9,2,9,1,2,2,1,9,2,5,8,8,1,6,2019-10-24
10,3,7,8,1,2,1,3,1,8,2,9,4,7,4,0,5,3,1,5,4,10,5,7,4,2019-10-24
6,7,8,5,10,2,4,8,8,5,1,7,5,9,2,1,7,4,0,9,3,4,6,6,3,2019-10-12
1,0,1,5,5,2,8,1,7,3,6,7,0,7,1,9,2,5,7,1,5,6,6,2,3,2019-10-12
10,8,7,1,9,8,2,3,8,8,8,0,5,1,6,2,5,8,2,7,1,4,2,8,1,2019-10-27
4,8,9,2,8,9,7,9,2,1,9,0,9,4,3,9,5,9,0,6,1,7,7,7,2,2019-10-27
1,8,3,8,9,9,5,7,1,2,3,9,2,9,2,9,3,9,2,9,4,9,1,5,8,2019-10-18
8,6,6,6,6,8,8,4,3,1,7,9,9,7,4,1,10,3,7,3,2,5,6,0,6,2019-10-24
9,9,9,8,5,7,5,9,1,3,7,1,10,0,7,5,2,3,1,6,3,6,7,4,0,2019-10-28
1,7,6,2,8,8,9,3,1,3,9,3,6,0,9,3,9,5,1,2,4,8,9,5,5,2019-10-15
3,9,8,1,10,5,3,9,2,3,2,8,6,5,7,1,5,1,8,5,4,10,1,1,4,2019-10-04
8,8,1,8,2,6,9,8,3,2,7,7,6,6,9,4,7,2,4,2,3,4,0,7,7,2019-10-08
2,9,6,6,4,9,9,1,3,3,0,0,2,9,1,4,5,6,6,6,1,2,2,3,5,2019-10-03
8,8,8,10,7,8,8,1,8,3,8,1,4,9,5,8,2,9,10,8,5,3,5,7,7,2019-10-10
3,5,7,2,7,9,6,7,7,9,2,9,1,3,5,4,7,2,7,3,10,9,2,0,5,2019-10-22
4,9,2,6,5,8,8,4,10,6,0,3,8,5,1,8,1,5,10,7,1,0,8,4,8,2019-10-08
6,6,8,9,6,5,0,7,5,10,1,3,7,1,3,2,5,2,2,8,3,8,9,3,2,2019-10-22
6,4,3,2,5,3,10,3,3,5,0,1,9,3,1,1,4,6,3,9,4,4,5,7,8,2019-10-05
7,2,6,5,7,10,10,0,5,5,1,5,10,4,8,5,4,0,6,6,8,5,4,6,1,2019-10-05
3,9,8,6,6,10,4,9,5,5,3,4,2,2,4,5,8,1,3,3,1,3,1,0,2,2019-10-17
5,8,9,6,9,1,2,3,0,6,3,4,7,8,7,8,0,9,4,8,2,8,3,10,7,2019-10-17
4,2,0,4,4,6,6,2,5,1,9,7,8,2,7,1,9,2,4,1,3,4,1,4,3,2019-10-07
0,3,8,4,6,8,3,5,10,9,5,9,3,8,3,9,3,8,0,9,0,5,7,7,5,2019-10-17
1,3,6,3,6,10,6,8,10,0,1,3,4,2,9,7,2,4,7,8,10,1,7,1,1,2019-10-28
1,7,2,2,8,7,9,10,8,5,4,2,2,0,1,8,4,4,0,5,9,6,3,10,4,2019-10-07
8,9,9,5,4,3,10,5,8,7,9,4,5,2,9,3,5,2,1,2,1,8,2,5,4,2019-10-20
7,0,8,2,9,4,4,1,7,10,7,8,7,4,1,6,10,3,0,7,5,7,4,5,2,2019-10-13
7,9,7,5,10,0,8,9,4,5,8,8,5,8,3,8,6,0,3,9,4,10,2,8,1,2019-10-29
8,1,1,3,9,4,8,5,10,0,8,0,0,6,4,7,5,9,2,5,6,5,3,10,5,2019-10-05
0,8,9,7,4,5,6,4,0,1,6,7,2,9,7,4,6,7,1,7,3,0,1,1,8,2019-10-04
1,9,6,6,2,0,4,7,0,10,0,6,9,7,2,9,1,2,1,4,4,7,4,9,6,2019-10-29
5,3,1,1,9,1,7,3,4,3,2,5,9,9,5,6,1,6,2,2,9,1,4,8,6,2019-10-22
6,6,0,7,1,3,2,3,8,8,6,0,3,5,8,10,5,10,1,7,4,0,8,6,5,2019-10-27
2,1,0,9,2,1,2,4,6,6,9,0,2,1,6,5,9,9,9,6,8,1,1,3,3,2019-10-05
3,4,7,4,3,8,7,9,7,8,6,0,10,2,1,9,4,4,4,5,2,5,2,2,4,2019-10-29
2,3,8,1,0,3,5,9,6,5,2,7,4,6,2,5,4,1,5,1,7,2,5,9,9,2019-10-08
2,3,1,5,2,4,5,2,4,8,10,9,0,7,7,1,5,9,10,2,4,4,4,5,4,2019-10-28
2,10,3,8,9,7,4,3,2,1,9,0,4,9,1,1,6,5,0,7,1,5,5,1,9,2019-10-03
5,1,5,7,9,2,9,5,3,9,1,6,1,2,1,6,4,0,4,7,3,1,4,6,4,2019-10-17
1,7,8,4,2,8,2,2,1,2,2,10,4,4,6,5,2,10,8,2,0,4,2,10,7,2019-10-04
4,7,0,1,5,1,0,10,0,3,8,5,9,4,4,1,3,7,7,3,4,4,4,0,3,2019-10-24
8,0,3,7,5,8,4,6,9,8,10,7,8,2,9,1,3,9,3,2,1,1,6,9,5,2019-10-28
2,6,8,1,6,7,3,4,5,4,8,2,0,9,5,7,2,9,7,1,6,6,7,2,9,2019-10-25
2,3,5,0,4,8,10,7,7,5,1,6,4,2,1,2,6,9,6,3,8,8,3,1,1,2019-10-22
5,3,8,1,3,6,10,2,6,5,9,6,7,3,3,4,0,3,5,2,1,2,4,7,10,2019-10-14
4,9,9,10,0,3,2,6,4,2,10,8,1,3,4,1,1,5,9,4,3,4,2,1,6,2019-10-20
1,3,8,2,5,4,1,10,1,1,7,9,2,7,2,3,9,2,9,5,7,9,8,2,2,2019-10-10
0,0,2,2,9,3,8,9,1,2,0,9,6,0,3,7,10,8,2,9,7,7,6,9,7,2019-10-23
7,7,3,6,1,6,3,7,0,7,5,5,8,6,1,8,4,4,1,8,5,1,2,1,2,2019-10-16
9,3,2,9,6,1,3,1,1,7,8,8,8,1,9,8,4,6,8,2,4,3,3,2,7,2019-10-09
10,1,9,3,3,5,3,1,9,2,5,1,5,1,5,8,8,9,4,0,3,2,9,0,8,2019-10-03
4,6,10,2,1,7,1,8,3,3,3,3,8,1,1,8,9,1,2,4,7,7,9,9,10,2019-10-18
7,1,7,3,1,4,4,1,5,8,1,2,9,8,7,5,5,2,1,0,8,7,6,5,5,2019-10-03
0,3,1,9,6,2,0,0,7,8,1,2,9,3,4,5,2,8,10,6,2,6,8,1,5,2019-10-04
5,10,1,3,3,1,2,6,5,10,0,5,9,5,5,8,8,7,10,3,1,6,9,6,9,2019-10-21
8,1,3,2,7,10,2,1,7,7,4,6,2,1,6,1,3,8,3,6,8,5,2,4,8,2019-10-07
3,1,0,7,7,1,1,4,4,1,10,0,3,4,8,3,3,8,6,4,2,7,0,7,8,2019-10-04
4,2,4,8,8,10,1,2,3,8,1,0,7,6,2,7,7,4,9,4,5,4,6,9,10,2019-10-18
1,1,4,10,4,8,0,8,9,5,9,5,7,9,7,7,9,6,3,2,6,5,6,5,4,2019-10-25
0,0,2,2,8,7,10,8,3,4,7,7,6,2,7,0,8,3,7,2,1,10,8,10,0,2019-10-16
1,9,5,8,3,6,8,7,9,1,8,8,10,0,3,4,1,6,10,5,6,1,6,7,6,2019-10-08
7,2,8,2,1,6,4,8,4,4,1,5,1,1,6,3,5,2,1,3,5,10,6,8,10,2019-10-02
2,8,9,10,1,8,6,0,3,5,6,4,9,4,9,3,1,1,2,1,8,7,2,2,10,2019-10-03
5,4,0,0,8,5,8,1,2,4,1,1,7,0,8,8,6,6,10,5,1,9,9,2,4,2019-10-01
1,4,3,2,5,6,9,4,4,10,6,0,5,8,2,4,4,4,0,1,4,1,7,7,1,2019-10-06
2,10,4,1,5,2,2,10,6,3,7,3,1,8,1,7,4,7,1,6,3,2,8,0,2,2019-10-22
1,6,8,9,6,6,1,6,8,7,4,9,5,0,4,6,4,9,9,6,3,3,1,1,6,2019-10-06
1,3,4,3,3,9,0,9,8,9,6,4,2,2,8,7,7,6,3,1,10,1,9,9,5,2019-10-23
3,3,4,4,3,8,1,1,6,9,3,3,9,1,9,9,8,7,8,1,3,6,10,8,3,2019-10-20
2,2,7,1,2,6,7,8,2,1,1,2,9,8,1,3,8,3,5,4,2,7,5,8,8,2019-10-24
7,5,2,2,2,2,7,0,8,7,7,8,5,6,7,9,5,1,10,1,1,7,10,7,4,2019-10-12
8,2,3,3,3,10,8,3,1,3,3,1,7,0,8,9,7,0,6,4,7,6,4,8,3,2019-10-28
4,6,3,1,6,6,5,8,9,3,3,3,7,1,9,7,3,4,3,2,7,9,3,7,4,2019-10-08
3,8,5,9,7,3,7,5,6,6,9,2,1,8,5,10,1,3,8,1,4,8,7,9,0,2019-10-14
6,7,10,5,7,9,3,5,9,7,8,8,7,8,1,8,7,10,5,7,10,7,3,1,5,2019-10-04
0,3,0,0,5,6,8,5,5,5,1,8,3,2,6,2,9,1,5,7,8,10,5,7,6,2019-10-10
7,4,1,8,4,5,4,7,9,2,3,5,7,3,9,9,4,5,9,3,4,1,4,0,9,2019-10-05
6,5,6,3,7,5,0,5,0,7,2,8,8,4,0,8,2,9,6,7,7,3,7,0,3,2019-10-02
1,6,8,3,8,5,9,7,10,3,6,6,2,8,4,5,5,8,8,2,7,8,5,2,8,2019-10-21
1,8,0,2,5,7,0,4,4,4,2,6,3,1,3,3,9,5,8,9,9,7,2,1,9,2019-10-07
5,10,4,4,1,3,4,7,5,8,1,10,6,4,10,2,2,4,6,8,7,8,8,5,7,2019-10-12
3,4,6,9,3,6,4,1,6,8,4,1,2,5,6,8,6,8,6,9,8,1,2,7,9,2019-10-05
4,9,8,1,3,0,5,6,7,3,7,8,0,6,7,8,3,6,2,4,2,5,0,9,0,2019-10-14
9,10,2,1,8,6,5,10,1,1,6,8,8,8,3,6,2,7,4,10,7,3,3,1,5,2019-10-15
1,6,9,8,7,6,0,6,7,6,8,3,8,2,2,8,8,5,0,1,1,7,8,3,9,2019-10-17
3,8,6,1,9,1,7,9,3,7,5,8,1,6,3,5,6,7,5,6,6,6,5,9,1,2019-10-29
2,3,7,1,4,9,5,4,6,8,9,9,0,7,5,0,1,1,8,7,2,9,0,1,0,2019-10-23
2,3,6,0,8,3,6,4,5,1,3,8,10,6,1,7,0,10,7,8,6,1,4,7,2,2019-10-02
0,7,3,0,5,6,6,3,4,2,1,6,3,4,8,6,1,9,8,3,10,4,3,8,7,2019-10-03
1,3,1,1,1,6,9,5,1,1,4,4,9,1,2,4,3,9,4,8,2,1,8,6,8,2019-10-06
7,2,9,1,8,3,6,1,7,10,4,1,3,3,5,6,7,3,8,1,5,8,8,6,3,2019-10-09
5,8,4,4,5,10,8,10,2,7,1,5,1,5,9,9,4,5,6,6,4,10,8,8,8,2019-10-12
7,0,6,4,2,5,1,5,1,5,2,3,3,10,9,8,1,6,2,2,4,1,3,5,2,2019-10-27
9,6,6,6,3,0,7,7,8,1,0,9,9,4,3,0,4,0,4,6,5,8,6,4,9,2019-10-15
8,8,8,8,0,7,7,5,2,1,5,2,9,4,2,4,7,6,5,1,0,5,1,8,2,2019-10-02
1,0,7,0,8,2,10,0,6,9,2,1,0,1,0,7,9,10,3,7,6,5,2,3,7,2019-10-19
3,3,2,7,1,5,2,10,8,7,1,8,0,4,3,7,9,3,2,6,2,10,6,6,1,2019-10-07
8,4,4,9,9,4,6,1,6,2,2,5,3,4,9,3,8,7,1,4,4,1,6,10,3,2019-10-09
5,7,4,10,6,9,1,8,7,9,4,8,4,10,2,10,1,5,5,7,1,1,5,5,1,2019-10-25
3,5,4,9,6,1,3,6,4,4,1,7,6,4,8,5,7,5,1,5,4,0,8,2,8,2019-10-28
3,2,6,5,5,6,7,1,7,2,8,4,9,8,2,9,0,7,1,9,6,6,7,1,1,2019-10-15
7,5,1,4,9,8,9,7,3,6,10,3,1,3,5,8,5,8,6,7,0,9,9,5,2,2019-10-20
4,8,3,3,0,8,5,4,4,2,9,6,1,5,1,0,5,9,6,8,5,1,4,7,8,2019-10-22
3,0,0,6,9,9,9,6,3,7,8,8,1,4,7,9,6,5,8,7,1,2,4,3,2,2019-10-04
3,6,6,6,7,9,6,3,1,7,0,2,8,1,0,1,9,4,4,6,7,6,5,8,8,2019-10-16
8,2,0,5,7,3,8,9,7,9,4,6,6,2,0,9,2,8,2,0,9,4,6,1,5,2019-10-12
6,5,2,7,2,3,3,8,5,3,2,9,5,4,3,8,1,4,0,1,6,10,3,9,9,2019-10-17
4,7,4,8,5,2,6,4,7,9,9,3,8,8,2,6,9,6,8,6,1,9,3,5,9,2019-10-16
7,2,4,9,9,1,9,6,1,5,5,10,5,1,8,2,6,7,5,5,9,5,10,0,5,2019-10-02
2,7,3,6,7,3,7,2,4,5,7,5,10,1,0,7,3,9,8,4,7,4,0,8,0,2019-10-15
6,0,4,3,3,7,9,8,0,5,0,4,7,7,7,7,2,4,9,3,7,4,8,10,7,2019-10-01
4,4,3,2,4,5,8,4,9,9,6,9,9,5,4,6,4,10,2,4,3,5,5,0,4,2019-10-08
3,3,2,8,8,2,5,3,2,1,2,2,9,3,2,8,3,7,0,1,4,1,3,4,5,2019-10-17
4,5,2,7,8,9,5,5,1,6,1,10,2,3,0,1,5,3,4,2,7,3,5,4,5,2019-10-27
6,5,1,2,5,4,8,6,7,6,7,5,2,8,9,7,3,9,9,5,4,10,9,3,6,2019-10-02
10,7,0,8,5,9,8,9,7,1,3,6,0,5,9,9,0,7,6,3,8,3,1,8,8,2019-10-11
10,8,2,7,8,0,9,8,3,2,6,4,7,8,2,6,6,9,7,4,10,6,2,9,2,2019-10-06
3,7,6,6,9,4,10,4,8,0,2,4,1,3,0,8,0,6,9,2,6,1,5,0,1,2019-10-10
1,4,2,0,6,9,2,3,1,4,5,6,4,9,0,7,6,3,0,5,7,7,7,8,5,2019-10-21
8,1,4,4,8,6,9,1,2,0,9,5,8,4,5,8,2,4,4,8,6,10,10,8,7,2019-10-28
10,8,9,4,5,5,1,1,4,0,8,5,10,6,0,10,5,3,1,3,8,7,6,5,4,2019-10-22
7,9,3,9,8,5,10,7,5,7,4,3,3,4,9,7,10,1,10,8,2,0,3,8,1,2019-10-02
3,4,6,4,9,3,9,1,2,4,3,1,5,8,5,3,8,7,3,6,6,3,1,5,7,2019-10-25
4,1,5,2,5,3,4,6,1,2,7,8,0,6,1,1,6,3,6,0,6,4,2,8,1,2019-10-25
6,2,8,1,6,6,9,6,7,4,3,7,2,7,2,5,6,1,5,9,2,8,8,3,9,2019-10-25
8,7,7,0,9,0,9,4,1,3,9,7,6,2,4,4,8,7,7,3,9,3,7,7,5,2019-10-21
6,9,9,3,9,1,8,0,6,1,7,2,8,9,4,1,2,8,4,6,9,4,2,5,6,2019-10-11
3,5,8,7,5,1,1,4,3,8,9,6,5,4,9,10,2,5,9,9,0,2,5,5,6,2019-10-20
7,2,9,5,4,0,7,6,1,6,4,3,8,1,7,5,9,0,1,9,4,5,9,5,3,2019-10-27
0,6,7,6,8,6,2,6,4,1,1,0,1,8,0,5,2,0,4,6,8,0,3,2,9,2019-10-07
5,6,1,6,4,2,7,7,2,7,5,7,9,3,5,5,8,9,0,4,2,9,3,2,1,2019-10-27
7,8,4,9,1,2,8,4,10,4,5,6,10,1,8,2,1,7,1,8,3,8,9,4,10,2019-10-19
2,1,7,1,1,1,4,7,8,3,1,7,9,4,3,6,8,8,1,2,6,1,2,3,5,2019-10-13
9,5,7,4,4,6,7,1,4,9,7,5,1,6,6,7,5,7,10,6,6,2,3,1,6,2019-10-15
5,4,2,6,2,3,6,5,4,1,1,8,2,7,6,5,5,6,6,9,5,8,4,4,5,2019-10-15
4,8,7,1,0,5,7,1,8,5,8,5,8,7,3,9,10,5,8,9,3,6,9,7,4,2019-10-03
4,2,3,0,3,5,1,3,10,7,7,6,4,5,0,5,1,2,9,6,9,8,9,5,7,2019-10-23
0,5,2,1,6,8,1,10,6,6,5,9,5,6,2,6,10,5,10,7,5,6,3,5,2,2019-10-18
2,8,8,6,1,6,5,2,9,9,2,5,0,5,6,6,0,5,7,6,2,1,7,5,6,2019-10-03
9,2,2,4,7,5,4,3,3,5,1,7,5,5,7,6,2,2,8,2,6,7,2,2,4,2019-10-10
9,7,1,8,3,8,6,4,9,6,8,10,7,8,5,7,2,7,10,0,7,0,0,3,6,2019-10-11
9,5,3,9,9,8,10,0,9,5,4,1,6,2,1,8,5,4,1,5,9,7,5,8,6,2019-10-28
7,2,3,6,1,8,1,2,10,1,5,4,0,9,4,4,2,7,7,2,3,8,2,8,2,2019-10-02
7,2,10,2,9,4,3,8,7,7,6,7,3,2,4,0,4,0,4,10,4,1,4,8,6,2019-10-02
4,10,0,3,8,9,9,6,8,0,3,1,0,2,8,2,1,8,4,4,10,1,2,0,8,2019-10-10
8,9,8,3,5,5,9,7,5,1,3,9,7,8,2,3,10,7,2,7,4,5,6,6,10,2019-10-12
6,5,4,2,9,7,4,9,8,5,9,7,5,9,4,7,8,7,7,2,1,3,4,6,3,2019-10-29
3,5,2,10,5,2,10,5,6,3,7,7,7,3,8,5,1,10,3,5,5,4,6,8,5,2019-10-12
5,10,9,0,9,3,2,3,8,2,3,1,4,7,6,2,6,1,0,6,10,3,9,1,9,2019-10-17
3,6,7,1,8,6,9,2,8,10,6,5,8,10,9,7,8,7,7,10,1,5,5,0,5,2019-10-16
5,7,3,0,6,9,2,10,9,1,10,9,1,5,6,4,8,5,5,9,4,5,4,10,2,2019-10-26
3,5,4,9,3,3,4,1,5,2,5,5,1,4,4,3,2,1,0,4,6,3,2,1,2,2019-10-27
1,0,10,8,1,1,10,3,2,7,7,6,2,6,2,2,4,5,1,0,8,7,8,10,5,2019-10-18
5,1,2,7,5,8,10,3,0,4,4,1,8,3,1,1,7,4,8,10,1,6,4,10,7,2019-10-24
2,2,0,7,6,9,4,4,0,4,3,1,3,0,8,0,2,0,8,5,6,7,4,1,5,2019-10-09
0,6,10,9,6,0,2,2,6,2,5,1,4,6,5,4,10,5,3,9,7,0,4,1,9,2019-10-16
2,0,6,5,9,0,7,4,1,9,8,3,4,5,2,7,8,8,4,6,2,7,0,4,9,2019-10-07
1,7,5,7,2,3,8,9,2,7,2,9,1,9,0,5,5,0,9,9,9,9,3,7,3,2019-10-07
1,4,2,4,7,4,7,4,3,5,2,7,5,9,6,3,0,0,2,5,6,2,6,9,10,2019-10-26
3,4,8,3,6,8,8,3,5,6,9,2,9,4,1,1,7,2,7,7,5,1,1,4,5,2019-10-03
2,1,8,3,3,1,9,5,3,7,5,8,9,2,6,9,1,8,7,2,3,0,3,9,2,2019-10-02
5,8,9,6,7,5,2,0,4,8,6,9,6,3,9,9,1,8,7,9,5,1,2,4,5,2019-10-09
8,6,7,8,3,8,8,4,4,5,7,7,6,9,8,7,7,6,7,4,4,5,9,2,0,2019-10-19
5,6,3,10,9,3,4,0,6,2,4,4,7,6,4,8,3,9,9,4,7,4,1,5,1,2019-10-03
5,6,3,3,2,7,10,7,2,8,5,8,7,7,3,7,4,3,10,5,6,6,7,8,6,2019-10-20
2,0,7,2,6,6,6,2,10,7,10,5,8,0,9,5,7,8,7,3,8,3,6,1,6,2019-10-05
3,2,6,3,4,10,6,5,2,5,3,2,3,2,10,1,8,10,3,9,5,5,2,4,3,2019-10-21
4,7,6,9,10,10,5,3,7,7,2,3,3,9,2,9,0,3,8,1,6,6,2,3,1,2019-10-10
4,6,4,3,5,1,3,4,5,8,1,7,1,4,1,4,4,6,3,8,7,3,0,2,6,2019-10-24
3,1,9,6,10,8,7,8,9,2,5,5,10,3,7,7,9,10,7,9,3,6,3,10,9,2019-10-27
9,1,5,5,4,5,6,5,2,4,8,0,4,4,7,5,4,3,6,9,3,0,7,3,7,2019-10-10
7,4,4,4,0,8,9,8,2,8,4,4,6,1,6,0,4,0,5,8,1,3,2,6,3,2019-10-07
8,2,1,4,2,2,5,10,2,10,4,3,3,2,5,1,1,2,1,5,5,1,3,2,1,2019-10-28
3,4,7,0,8,4,8,5,4,5,2,7,4,4,10,3,2,1,5,0,6,8,3,2,9,2019-10-05
6,6,5,3,3,8,5,9,4,4,2,8,6,9,5,1,0,3,7,5,0,3,8,4,5,2019-10-10
9,6,2,2,5,2,10,8,5,1,7,0,3,2,8,6,7,0,9,6,1,4,1,3,10,2019-10-05
8,8,8,3,6,4,7,0,7,1,9,5,6,0,10,2,1,9,6,1,4,6,4,10,9,2019-10-14
2,9,3,8,1,4,9,9,7,8,2,4,6,4,10,10,3,0,4,2,4,5,8,9,8,2019-10-16
9,10,7,3,8,5,7,6,9,5,4,10,1,4,0,3,8,2,0,8,5,1,7,6,8,2019-10-02
0,9,6,1,2,5,6,8,8,3,8,10,1,4,10,7,2,4,4,8,6,1,2,7,9,2019-10-13
4,5,3,7,1,6,6,8,5,7,4,2,2,9,6,2,4,2,5,9,3,4,2,4,4,2019-10-06
10,2,1,10,10,1,4,5,1,4,5,2,2,3,1,5,4,4,8,8,10,7,3,4,5,2019-10-27
7,8,0,2,2,6,6,8,6,2,6,7,5,7,6,6,8,5,9,6,7,5,10,2,3,2019-10-25
6,3,3,3,1,5,3,4,2,4,6,4,3,3,5,2,2,2,5,3,7,3,6,3,10,2019-10-06
4,2,10,1,2,2,7,10,9,4,2,2,6,6,6,7,7,2,9,5,2,1,2,2,3,2019-10-24
9,4,3,8,8,2,10,4,2,9,2,2,5,3,6,6,5,3,4,3,1,3,9,6,1,2019-10-01
4,3,1,4,7,3,7,3,1,7,6,3,2,5,2,4,7,0,9,9,8,2,0,5,3,2019-10-03
8,9,1,6,8,4,7,7,8,8,7,1,7,7,4,4,7,8,8,9,4,7,2,0,5,2019-10-01
9,2,10,6,2,4,9,8,6,8,5,10,4,9,9,1,4,6,6,9,3,7,9,7,3,2019-10-10
2,6,5,3,7,4,7,9,2,8,4,3,5,9,1,4,1,7,5,9,5,4,1,2,9,2019-10-20
6,7,1,7,1,9,10,8,7,3,8,1,5,2,4,6,2,9,2,4,7,8,3,4,3,2019-10-04
1,3,7,7,1,7,8,4,0,5,9,5,2,6,5,4,10,0,5,0,1,7,1,5,10,2019-10-16
5,4,5,5,0,3,9,6,9,9,10,9,5,5,6,5,5,5,5,2,6,10,2,5,4,2019-10-22
5,2,4,6,3,5,6,6,1,6,5,10,1,7,7,3,1,2,4,6,10,0,9,8,2,2019-10-18
9,7,6,2,3,9,9,6,6,0,2,8,8,7,8,3,2,6,8,1,5,5,4,7,1,2019-10-01
7,3,2,3,9,2,10,6,2,8,7,7,3,8,4,4,3,3,5,5,0,1,2,8,0,2019-10-04
5,4,2,3,10,8,1,7,2,4,0,7,9,7,2,7,5,9,6,4,1,1,9,10,7,2019-10-02
7,10,0,7,6,4,0,6,6,6,7,5,2,6,6,7,8,0,7,0,5,4,3,7,9,2019-10-21
4,4,6,3,3,6,8,8,3,3,6,5,10,5,2,3,8,1,5,3,6,2,5,2,5,2019-10-17
4,1,6,8,1,3,1,4,6,6,9,1,7,6,1,9,3,6,8,8,8,7,1,7,0,2019-10-27
6,7,1,8,1,2,9,9,6,9,3,8,3,9,9,2,1,9,8,2,8,9,3,10,10,2019-10-15
3,6,2,2,8,7,10,1,2,4,7,2,1,3,3,6,6,1,7,1,6,6,2,7,6,2019-10-20
6,6,5,8,2,9,6,6,6,1,1,1,3,3,3,6,2,6,9,8,4,6,7,10,0,2019-10-01
1,4,4,8,8,8,0,5,2,9,1,8,9,8,9,9,0,9,3,7,7,2,4,4,5,2019-10-24
7,0,4,0,0,9,8,5,1,9,6,4,7,6,10,1,1,6,8,2,8,0,7,0,9,2019-10-19
3,10,7,5,8,3,2,8,9,6,2,6,3,9,2,7,2,3,3,1,9,4,1,9,4,2019-10-02
7,5,9,4,6,8,3,3,9,9,9,2,8,9,6,3,5,7,3,5,2,8,5,4,6,2019-10-06
7,8,3,2,5,9,2,4,6,9,7,5,7,4,10,6,0,8,9,6,1,3,1,4,4,2019-10-13
0,7,9,0,2,3,9,10,8,9,2,4,2,6,5,2,7,2,3,1,3,4,7,7,8,2019-10-13
5,1,1,4,1,1,0,3,3,1,3,8,5,3,9,5,8,3,5,6,2,2,4,6,9,2019-10-24
9,1,9,6,8,0,1,8,8,2,5,2,4,3,6,8,1,9,5,7,8,1,6,9,0,2019-10-02
5,1,0,0,3,6,10,7,1,1,2,2,4,1,4,2,1,6,6,7,5,7,4,4,8,2019-10-28
2,9,0,6,8,2,5,8,10,7,2,5,10,1,3,1,2,9,6,8,9,7,5,8,4,2019-10-29
2,1,3,8,4,9,5,8,6,4,1,6,5,10,1,1,5,8,5,4,2,10,0,6,2,2019-10-20
1,6,5,7,1,9,4,6,2,3,7,2,9,1,10,3,8,2,5,4,6,4,8,4,4,2019-10-22
6,6,8,1,2,0,2,4,6,5,8,1,6,4,7,3,8,1,8,6,1,9,4,3,2,2019-10-27
3,8,6,6,6,10,8,2,3,9,4,6,3,8,6,2,3,2,0,0,6,1,5,8,6,2019-10-14
6,0,1,1,3,9,3,8,7,4,1,8,2,7,9,9,6,2,1,1,7,5,1,7,2,2019-10-29
3,3,4,0,0,3,3,5,8,2,1,9,1,8,2,3,5,9,4,6,5,3,4,0,6,2019-10-07
3,2,4,9,0,1,6,8,7,9,3,2,4,7,3,7,2,6,3,6,0,7,7,1,9,2019-10-15
2,8,3,0,8,2,2,10,4,3,5,2,1,5,8,8,8,5,2,1,3,3,9,9,8,2019-10-04
8,8,3,6,5,9,5,3,1,1,1,5,6,4,0,4,7,7,5,9,9,5,9,1,1,2019-10-03
4,4,5,3,0,7,7,7,9,7,4,8,6,5,6,7,5,5,3,8,1,1,5,3,4,2019-10-06
5,8,8,10,1,7,6,4,6,8,0,2,4,6,1,7,7,9,7,4,8,8,1,4,7,2019-10-01
7,5,3,9,0,7,6,9,9,8,1,0,9,1,1,1,9,9,5,9,6,3,3,5,4,2019-10-25
6,8,10,9,8,10,3,9,6,9,5,1,8,4,1,4,9,4,9,6,10,1,0,5,7,2019-10-17
2,8,3,3,8,7,7,2,10,2,8,3,1,7,4,5,3,2,6,5,2,5,3,8,9,2019-10-27
7,1,10,6,2,0,2,6,3,1,5,2,6,5,6,7,0,1,8,3,1,4,0,5,1,2019-10-20
4,7,3,8,9,8,10,7,2,3,4,4,7,1,6,6,4,1,1,6,2,6,10,4,0,2019-10-15
5,4,7,4,4,9,7,10,4,7,4,3,6,9,0,8,6,10,8,8,2,1,1,4,8,2019-10-24
1,8,2,8,2,9,9,1,3,6,4,1,9,8,0,6,6,10,9,7,4,5,3,6,4,2019-10-22
5,2,2,0,0,4,3,8,3,6,6,5,0,9,8,1,9,4,3,9,4,3,6,7,5,2019-10-01
5,4,6,6,4,5,0,10,7,8,5,0,7,6,4,8,3,3,7,3,4,8,5,1,1,2019-10-29
5,4,5,2,9,6,7,9,0,8,4,6,3,2,8,7,2,4,1,5,4,7,4,2,6,2019-10-03
