Q30,Q27,Q28,Q35,Q25,Q17,Q18,Q22,Q13,Q5,Q19,Q6,Q37,StartDate 
7,3,4,7,3,4,3,5,3,99,3,4,"0,1,3,4",2020-03-06
9,5,3,5,5,3,3,4,3,99,3,99,"0,3,4",2020-03-12
10,4,3,7,1,4,3,4,3,99,3,2,"2,3,4",2020-03-30
9,4,4,9,5,5,1,3,4,1,1,7,"0,1,3,4",2020-03-01
8,3,3,10,4,2,3,3,3,99,5,10,"0,3",2020-03-07
8,4,1,7,1,3,1,1,3,1,3,3,"0",2020-03-02
8,3,1,7,1,5,4,5,3,1,4,2,"0,2,3,4",2020-03-12
10,1,3,7,4,2,4,1,3,99,1,9,"0,3,4",2020-03-23
9,4,3,7,4,2,4,1,5,1,1,4,"0",2020-03-15
9,3,5,7,3,3,5,2,3,99,4,7,"2,3,4",2020-03-15
10,4,4,7,5,2,4,3,3,99,4,10,"0,3",2020-03-06
10,5,4,5,5,3,4,2,1,1,3,99,"1",2020-03-16
7,4,5,9,5,4,3,3,3,1,1,4,"0,1,3",2020-03-20
9,1,1,7,1,3,1,2,5,99,1,9,"0,1,2,4",2020-03-07
9,4,1,10,1,3,1,2,4,1,4,9,"1,3",2020-03-25
8,1,3,7,3,4,3,2,3,1,1,2,"1,2,4",2020-03-19
9,3,3,7,3,2,3,2,4,99,4,5,"0,1",2020-03-03
9,4,3,9,5,3,3,5,5,99,4,8,"0,1,2,3,4",2020-03-26
7,5,3,10,4,4,5,1,3,99,5,9,"3,4",2020-03-15
9,3,5,5,4,3,4,3,3,1,4,10,"0,1,4",2020-03-18
10,4,3,9,3,2,3,2,5,1,5,6,"0,1,2,4",2020-03-10
9,1,4,7,3,2,1,3,5,99,1,5,"0,2,3",2020-03-22
9,1,3,9,4,4,3,1,1,1,5,9,"0,2",2020-03-02
7,4,3,7,1,3,4,4,4,99,4,8,"0,1,4",2020-03-17
8,3,1,10,3,3,1,2,1,1,3,99,"1,3,4",2020-03-06
7,3,3,7,4,4,4,1,1,1,3,6,"1",2020-03-25
8,4,1,7,3,3,1,3,4,99,3,10,"1,3",2020-03-03
9,1,5,10,1,3,3,1,3,99,3,3,"1",2020-03-28
9,5,1,7,5,4,1,4,3,1,3,3,"1",2020-03-09
7,3,3,7,4,4,4,3,5,1,3,5,"0,2,3",2020-03-05
10,3,3,7,3,5,5,5,5,99,3,5,"3",2020-03-24
10,5,4,10,3,4,1,3,3,99,3,99,"0,1,2,3",2020-03-29
9,3,4,5,4,2,4,3,4,1,4,2,"0,1",2020-03-20
10,1,3,9,5,5,4,5,3,1,3,9,"2",2020-03-05
10,3,5,5,3,3,4,2,5,1,3,2,"0,3",2020-03-03
9,5,4,7,3,4,4,3,3,99,1,3,"",2020-03-05
7,3,1,9,4,5,4,3,3,1,3,10,"2",2020-03-09
8,4,4,5,5,2,3,1,5,99,5,9,"0",2020-03-30
9,4,3,7,1,3,1,2,3,99,4,7,"1,2,4",2020-03-14
8,3,3,7,3,3,3,4,1,99,3,1,"1,3",2020-03-21
7,1,1,9,4,3,4,2,4,1,4,2,"1,2",2020-03-28
8,4,1,9,3,4,5,2,5,99,3,5,"0",2020-03-17
8,4,1,9,1,3,5,2,5,1,1,3,"0,1,3,4",2020-03-15
10,5,3,9,3,2,3,1,4,99,1,10,"1,3",2020-03-18
9,4,4,7,3,4,3,4,5,99,3,99,"0,2",2020-03-27
9,4,3,7,4,4,3,4,4,1,3,2,"0,1,2",2020-03-18
10,5,4,10,3,5,3,3,1,99,1,9,"1,3,4",2020-03-25
8,3,4,9,3,4,4,5,5,99,1,3,"1,4",2020-03-26
8,5,4,7,4,4,1,2,4,1,5,9,"1,3",2020-03-08
7,4,4,7,3,4,5,3,3,99,4,10,"0,2,3,4",2020-03-30
9,3,1,10,3,4,3,4,4,99,3,2,"0,1,3,4",2020-03-22
8,5,3,9,4,2,1,4,4,1,4,9,"2,3,4",2020-03-30
8,5,3,5,5,3,4,4,5,99,3,2,"4",2020-03-29
10,5,4,7,4,3,4,2,4,1,3,5,"0,1,2,3",2020-03-16
9,4,4,10,3,4,5,4,5,1,3,3,"1,3",2020-03-16
9,1,3,5,4,5,4,3,5,99,4,6,"",2020-03-19
7,5,4,7,5,3,1,5,4,1,5,4,"2,3,4",2020-03-28
7,4,3,5,3,2,4,2,1,1,3,3,"0,1,3",2020-03-29
9,4,3,9,3,3,4,3,1,1,1,2,"1",2020-03-22
9,3,4,7,4,5,4,4,5,1,3,99,"1,2,3",2020-03-26
9,4,3,7,3,4,3,4,4,99,4,5,"0,1,2",2020-03-18
7,5,4,10,4,4,4,2,3,99,3,7,"2",2020-03-23
7,5,4,9,5,2,3,3,1,99,5,10,"0,1,2,4",2020-03-03
9,3,4,9,4,3,4,2,5,99,1,10,"2,3,4",2020-03-27
10,3,3,5,1,3,3,4,5,99,3,4,"2,3",2020-03-11
7,4,4,5,3,4,3,3,4,99,4,6,"0,4",2020-03-02
8,4,5,7,4,3,3,3,5,1,4,99,"0,1,2,3",2020-03-30
7,4,4,7,3,2,3,3,1,99,3,8,"2,3,4",2020-03-27
9,1,5,9,3,3,1,1,3,1,4,2,"2,3",2020-03-20
8,3,5,9,4,3,4,3,5,1,5,8,"0,1,2",2020-03-09
8,1,4,9,4,4,4,3,3,1,3,6,"0,1,2",2020-03-12
9,1,4,7,3,4,5,4,3,99,4,3,"3,4",2020-03-28
10,3,5,7,5,4,4,3,3,99,1,8,"2,4",2020-03-07
7,4,3,9,1,3,1,2,1,99,3,10,"0,1,3",2020-03-13
8,1,1,9,3,4,4,2,3,99,1,1,"0,3",2020-03-06
9,3,1,5,1,2,1,1,4,99,3,8,"3",2020-03-27
7,4,1,7,5,2,4,4,5,1,4,7,"0",2020-03-26
8,3,3,5,4,4,4,4,3,99,4,10,"0,1,3,4",2020-03-07
10,3,3,5,4,3,4,4,1,99,4,8,"0,1,2,4",2020-03-13
8,4,4,5,3,4,1,4,5,1,3,5,"0,1,3",2020-03-28
8,3,1,9,3,3,1,3,3,1,1,1,"0,1,4",2020-03-04
10,4,1,5,5,5,3,3,5,99,4,10,"0,1,3,4",2020-03-26
7,1,3,7,1,5,4,3,4,99,1,6,"0,2,3",2020-03-09
9,4,3,5,3,5,4,4,3,1,4,2,"1,4",2020-03-11
8,3,4,9,4,3,3,4,4,99,5,4,"1,3",2020-03-16
9,3,4,9,4,4,1,2,3,1,1,3,"4",2020-03-02
10,3,3,5,5,5,3,2,1,99,4,2,"1,3",2020-03-21
7,3,4,5,1,3,4,1,4,1,4,6,"1,3,4",2020-03-21
7,4,1,7,4,4,4,5,4,1,3,3,"2,3",2020-03-10
9,4,5,10,3,4,5,2,4,1,1,2,"2,4",2020-03-25
7,3,3,10,1,2,4,4,5,1,4,9,"0",2020-03-11
8,3,4,5,4,3,1,3,5,99,5,8,"1,2,3,4",2020-03-20
10,3,5,5,3,3,4,2,3,1,5,3,"0,1,4",2020-03-28
9,5,5,7,3,3,4,4,3,1,4,8,"3,4",2020-03-15
9,1,4,7,4,4,3,3,3,1,4,7,"0,2,3,4",2020-03-19
8,4,5,9,3,3,1,3,5,1,4,3,"2",2020-03-25
8,3,4,7,3,5,4,3,4,99,3,7,"1,2,3,4",2020-03-29
8,4,3,9,4,3,4,4,1,99,5,6,"0,1,2",2020-03-09
8,3,4,5,3,4,1,4,3,1,1,6,"2,3",2020-03-05
10,3,4,5,5,2,3,3,1,1,1,9,"0,2,4",2020-03-21
8,3,4,7,3,3,4,4,4,99,5,8,"2,3,4",2020-03-08
9,3,3,9,3,4,4,4,5,1,3,6,"",2020-03-03
7,1,3,7,1,4,3,1,3,99,1,7,"3,4",2020-03-29
9,3,5,7,4,5,4,5,4,1,3,2,"2,3,4",2020-03-07
9,3,3,9,1,5,3,4,4,1,1,6,"2,3",2020-03-30
9,5,4,10,4,4,4,2,3,99,4,5,"0,1,2",2020-03-30
10,1,3,5,4,2,5,4,4,99,4,7,"0,1,2,3,4",2020-03-19
8,5,4,5,5,2,1,4,3,99,4,10,"3,4",2020-03-13
7,5,4,5,3,3,4,3,1,99,4,2,"1,3,4",2020-03-28
9,5,3,10,5,3,5,5,1,99,5,99,"0,1",2020-03-19
9,4,3,9,4,3,3,4,1,99,4,7,"1,2,3",2020-03-26
9,5,4,7,3,2,3,3,1,99,1,8,"0,1,3",2020-03-21
8,5,3,7,3,3,1,5,3,1,4,2,"1,2,3,4",2020-03-17
9,4,3,9,3,3,4,2,3,1,3,99,"1,2,4",2020-03-19
10,4,5,9,1,4,3,5,4,99,3,9,"0,1,2,4",2020-03-26
7,5,3,7,4,4,3,4,4,99,4,7,"0,4",2020-03-06
9,3,4,9,1,2,3,1,5,99,4,5,"",2020-03-08
10,3,5,9,4,5,3,2,4,99,5,7,"3,4",2020-03-02
9,4,3,9,5,4,5,4,5,1,4,3,"1,2,3,4",2020-03-09
9,3,4,7,4,3,4,4,1,1,3,5,"0,1,2",2020-03-02
9,4,5,7,4,4,4,2,3,1,4,7,"0,1,2,3",2020-03-21
9,1,5,7,4,3,4,4,4,99,3,4,"4",2020-03-06
9,3,3,5,5,3,3,5,3,1,1,3,"1,3,4",2020-03-21
9,4,3,5,4,3,4,5,4,1,1,6,"0,1,2,4",2020-03-06
9,5,4,10,4,2,3,4,4,1,3,8,"0,2",2020-03-13
8,5,3,9,4,3,4,5,3,99,5,3,"1,2,4",2020-03-13
10,4,3,9,4,4,4,5,4,99,4,9,"0,4",2020-03-09
8,5,5,9,5,4,4,2,4,99,3,7,"1,2,4",2020-03-26
7,3,3,9,3,4,4,3,5,99,3,8,"3",2020-03-14
9,3,5,10,4,5,3,3,1,1,3,2,"1,2,3,4",2020-03-18
10,4,1,7,3,2,3,3,4,99,4,6,"0,2",2020-03-11
9,3,3,9,3,4,3,4,5,1,5,1,"0,1,4",2020-03-08
9,5,3,9,3,3,4,2,3,1,3,4,"3,4",2020-03-28
10,4,4,9,5,5,4,4,4,99,3,2,"0,1,2,3,4",2020-03-04
9,4,1,9,3,4,1,3,3,1,3,4,"3,4",2020-03-02
8,4,1,5,5,5,1,3,3,1,4,6,"1,3",2020-03-09
9,3,3,10,1,5,5,1,4,99,4,4,"0,1,4",2020-03-18
9,4,1,9,3,2,3,4,5,1,5,4,"0,1,3,4",2020-03-15
8,3,4,9,4,5,4,4,3,99,1,4,"2,3,4",2020-03-04
10,4,3,9,4,4,3,2,1,1,4,2,"",2020-03-15
9,3,5,9,3,4,4,2,3,1,1,7,"0,3,4",2020-03-09
9,5,4,9,5,4,4,3,5,99,5,3,"1,3,4",2020-03-06
8,1,3,5,5,2,3,2,3,1,4,9,"0,3,4",2020-03-10
8,5,4,9,3,2,4,2,4,1,4,3,"0,1,3",2020-03-05
7,4,1,9,3,4,5,1,3,99,1,4,"0,2",2020-03-14
9,5,4,9,4,4,3,4,4,99,1,8,"0",2020-03-23
8,1,4,5,4,4,5,3,4,1,4,9,"0,1,2,3",2020-03-17
9,5,4,7,3,3,5,4,4,1,3,3,"1,4",2020-03-22
10,4,1,5,3,3,4,4,4,99,3,7,"0,3,4",2020-03-28
7,3,4,7,4,2,4,2,1,1,5,9,"0,3",2020-03-10
9,3,3,5,3,4,3,1,1,99,4,9,"1,4",2020-03-23
9,1,4,9,3,4,4,3,5,1,4,2,"0,2",2020-03-24
10,5,4,9,3,3,3,5,3,1,4,2,"0,3,4",2020-03-23
10,4,5,9,3,3,1,5,5,99,3,6,"0,1,3,4",2020-03-03
8,1,4,10,4,4,4,1,5,99,1,10,"4",2020-03-26
8,4,1,7,5,3,3,3,4,1,5,8,"0,1,2",2020-03-28
9,4,3,7,3,5,4,3,4,1,4,10,"0,1,4",2020-03-23
10,4,4,10,3,3,5,3,5,1,4,6,"3,4",2020-03-20
8,4,3,7,5,4,4,1,3,1,3,8,"1,3,4",2020-03-20
8,3,3,9,1,4,1,2,3,99,4,10,"1",2020-03-04
8,3,4,7,5,3,1,4,5,99,3,5,"0,1,3,4",2020-03-01
10,3,4,7,4,5,5,2,5,1,1,6,"0,1,2,4",2020-03-26
9,4,5,7,3,4,5,2,1,1,4,1,"",2020-03-12
7,5,3,7,4,5,5,5,3,99,3,4,"0,1",2020-03-20
9,4,1,9,4,4,3,4,4,99,3,2,"0,1,2",2020-03-17
8,4,5,7,5,3,1,2,3,1,1,6,"0,1,3",2020-03-19
10,4,3,10,3,4,4,1,4,99,3,4,"0,4",2020-03-19
7,4,4,7,4,3,3,2,4,1,3,7,"0,2,3",2020-03-13
7,4,4,10,5,4,4,3,3,1,3,7,"0,1,3",2020-03-05
10,3,1,10,1,3,4,2,4,99,4,3,"0,1,2,4",2020-03-28
10,4,4,7,3,4,3,2,4,1,3,3,"0",2020-03-03
9,4,4,7,1,3,1,2,3,99,3,99,"3",2020-03-17
9,4,3,9,4,5,3,4,1,99,4,6,"0,1,2,3",2020-03-16
9,1,4,9,3,4,1,4,3,99,4,7,"2,3",2020-03-27
9,4,5,10,3,3,4,3,4,1,3,99,"0,2,4",2020-03-12
9,4,4,7,4,4,4,4,1,99,5,10,"0",2020-03-23
7,4,4,7,4,4,3,2,3,99,1,2,"1,3,4",2020-03-18
8,4,1,9,4,3,3,4,4,1,4,7,"0,3",2020-03-15
9,3,4,9,3,3,1,5,3,1,3,9,"2,3",2020-03-06
10,4,4,9,4,2,1,4,3,99,4,7,"1,3,4",2020-03-27
9,5,4,7,4,3,5,2,4,1,3,1,"0,2,3,4",2020-03-24
10,5,4,9,4,3,5,4,1,99,5,2,"1",2020-03-19
8,4,4,5,3,5,3,3,4,1,4,1,"3,4",2020-03-20
8,3,5,10,3,4,4,2,3,99,3,8,"0,1,2,3",2020-03-12
9,4,3,7,3,3,3,2,3,1,5,6,"2",2020-03-27
8,1,3,9,4,4,3,4,1,99,4,4,"1,2,4",2020-03-01
7,3,1,5,4,3,1,4,5,1,4,2,"1,4",2020-03-23
8,4,1,5,3,3,1,4,3,1,3,8,"1",2020-03-14
9,1,1,10,5,4,5,2,3,99,5,6,"0,2,4",2020-03-08
10,1,3,9,3,2,4,2,4,99,4,9,"",2020-03-29
9,5,3,10,3,5,3,2,1,99,1,4,"0,1,4",2020-03-10
8,3,1,7,5,2,4,2,3,1,3,6,"0,2,4",2020-03-15
7,3,1,9,1,4,4,2,3,1,4,7,"0,2,3",2020-03-23
9,4,1,5,4,3,4,2,4,1,4,99,"0,1,2,3,4",2020-03-19
10,4,5,10,4,4,3,3,3,1,4,5,"0,1,3",2020-03-08
10,1,5,7,3,4,1,2,3,1,3,2,"1,4",2020-03-11
10,3,1,5,1,3,4,3,5,1,1,5,"1,2",2020-03-03
10,5,5,7,4,5,4,5,4,1,1,7,"0,3,4",2020-03-05
9,3,3,9,3,4,3,4,4,99,3,7,"1,2,3",2020-03-12
9,4,4,7,3,3,3,5,4,99,5,7,"0,3",2020-03-11
8,4,3,9,5,4,4,3,3,1,4,5,"0,2,3,4",2020-03-23
9,4,3,7,5,4,3,2,1,1,3,6,"0,3,4",2020-03-07
8,4,4,10,1,2,3,4,4,99,4,4,"0,1,2",2020-03-03
7,1,4,10,3,2,5,5,5,1,3,9,"1,4",2020-03-10
10,4,4,7,3,3,1,2,3,1,1,7,"0,2,3,4",2020-03-15
8,4,4,7,3,3,4,4,3,99,3,10,"1,2,3,4",2020-03-03
10,4,4,9,3,3,3,4,3,99,3,8,"0,1,3,4",2020-03-21
8,3,4,7,5,3,4,1,4,99,3,5,"0,1,2,3",2020-03-20
10,4,4,10,4,4,3,2,3,1,4,10,"2,4",2020-03-08
9,4,4,10,5,4,4,2,4,99,4,9,"",2020-03-30
10,1,4,10,3,3,4,4,3,1,4,8,"0,2,3,4",2020-03-29
7,3,4,7,1,3,1,3,5,99,1,3,"0,1,3",2020-03-21
8,4,4,10,4,5,1,3,3,99,5,4,"0,1,2,4",2020-03-07
9,3,1,9,4,3,5,2,3,1,1,9,"0,2,3,4",2020-03-19
7,3,1,9,3,3,3,5,3,99,1,4,"1,2,3",2020-03-21
10,3,4,7,1,3,4,5,3,99,5,2,"1,2,4",2020-03-23
10,3,3,9,3,4,1,2,3,1,5,5,"0,1,2,3",2020-03-30
8,3,5,7,5,5,5,1,3,1,4,10,"0,2,4",2020-03-16
8,3,4,9,1,2,3,5,4,99,4,8,"0,3,4",2020-03-26
7,3,3,7,4,3,3,2,3,99,3,5,"2,3",2020-03-25
7,5,5,9,3,4,3,4,5,1,5,9,"4",2020-03-07
9,3,4,10,3,5,3,5,3,1,3,3,"0,4",2020-03-14
10,4,4,7,4,3,3,4,4,99,3,7,"2,3",2020-03-15
10,4,3,7,3,5,1,3,3,1,1,8,"0,3,4",2020-03-15
9,4,3,7,4,4,4,3,4,99,3,7,"3,4",2020-03-26
8,4,3,7,4,2,4,5,3,1,4,5,"0,1,3",2020-03-24
9,3,4,5,4,4,4,3,4,1,5,1,"0,2",2020-03-20
7,5,4,7,1,4,5,1,3,99,1,9,"2,3,4",2020-03-15
8,3,4,7,3,4,3,4,3,1,1,5,"0,3,4",2020-03-13
7,1,3,7,4,3,3,4,4,1,5,10,"1,2",2020-03-04
7,3,3,9,4,4,5,3,1,1,3,4,"2,3",2020-03-17
8,3,1,5,1,3,4,3,3,1,1,2,"0,1,2,3,4",2020-03-07
9,3,3,9,5,5,4,1,4,99,3,6,"3,4",2020-03-09
7,3,3,9,4,5,5,4,4,1,1,7,"0,2",2020-03-06
9,4,4,5,1,4,1,3,5,1,3,10,"0,4",2020-03-02
9,1,3,10,1,5,4,5,3,1,4,6,"0,1,3",2020-03-10
8,4,5,7,5,2,3,3,4,99,3,8,"1,3,4",2020-03-08
7,4,1,5,4,2,3,4,4,99,4,99,"1,2",2020-03-15
8,4,5,9,3,5,1,2,1,99,1,3,"0,3,4",2020-03-22
7,3,5,9,3,3,1,3,3,1,5,1,"0,1,3",2020-03-20
10,1,1,9,3,4,4,4,1,99,4,3,"0,2,3",2020-03-28
10,1,4,9,5,3,3,3,3,99,4,10,"0,3",2020-03-09
7,1,3,7,3,4,4,2,3,1,4,5,"0,1,3",2020-03-07
8,3,5,9,1,5,4,2,1,99,3,5,"0,2,3",2020-03-05
9,5,1,7,4,4,1,5,4,1,4,5,"2,4",2020-03-23
9,3,1,7,4,4,5,3,3,99,4,3,"1,2,3",2020-03-19
10,3,3,10,4,3,4,4,5,99,1,10,"2,3",2020-03-23
8,5,3,10,4,2,1,3,4,1,4,6,"0,1,4",2020-03-18
9,3,1,5,1,2,3,5,1,99,3,99,"2,3",2020-03-21
7,4,1,10,5,3,3,1,1,99,3,2,"1,4",2020-03-26
8,4,4,10,5,4,4,4,5,1,5,5,"2,3,4",2020-03-06
9,3,4,5,4,3,5,1,4,99,4,7,"4",2020-03-24
9,1,4,9,5,4,4,4,5,1,3,4,"1,3,4",2020-03-28
9,4,4,7,3,2,4,3,3,99,3,3,"1,3,4",2020-03-22
7,4,5,5,1,5,3,1,3,1,4,4,"",2020-03-15
8,4,3,9,3,4,3,4,3,99,1,6,"3,4",2020-03-02
9,3,5,10,5,2,1,2,4,99,1,6,"1,2,4",2020-03-02
10,4,4,10,4,2,4,2,4,99,3,4,"3",2020-03-22
9,1,4,9,4,4,3,2,4,1,3,5,"0,1,2,4",2020-03-29
8,3,3,10,3,4,3,5,3,1,5,10,"2,3",2020-03-20
7,4,3,7,5,4,1,5,1,1,4,99,"2,3,4",2020-03-20
8,3,3,9,4,3,5,2,1,1,5,8,"0,1,4",2020-03-20
8,4,3,7,5,5,4,4,3,99,3,7,"0,1,4",2020-03-14
7,4,4,7,1,2,4,3,4,99,3,1,"",2020-03-27
8,5,4,9,4,2,1,3,3,99,3,8,"1,4",2020-03-08
8,1,3,7,3,4,4,2,5,1,4,10,"0,1,3,4",2020-03-12
10,4,5,9,4,3,4,2,4,99,3,6,"0,1,2,4",2020-03-04
7,1,3,5,3,4,3,2,5,99,5,9,"0,3",2020-03-17
8,3,4,10,4,3,4,4,5,99,4,10,"0,1,3,4",2020-03-23
10,1,5,7,1,5,5,1,1,99,5,8,"0,4",2020-03-26
9,1,1,5,4,3,3,5,4,1,3,2,"0,3,4",2020-03-10
10,1,1,9,3,3,4,3,4,99,3,9,"0,1",2020-03-29
10,3,1,10,1,3,5,2,3,99,1,5,"3",2020-03-28
7,4,1,7,1,3,5,3,5,1,1,8,"0,2,4",2020-03-18
10,4,4,9,1,4,3,5,1,99,3,99,"1,2,3",2020-03-13
9,4,3,10,1,3,1,4,3,99,3,3,"0,2",2020-03-28
8,1,4,10,3,4,4,3,3,99,3,5,"0",2020-03-22
10,5,1,10,3,3,3,2,4,1,3,10,"1,2",2020-03-29
8,4,5,7,4,2,1,2,5,1,3,2,"0,2,3,4",2020-03-05
10,1,3,9,1,4,1,4,4,99,3,4,"0,1,2",2020-03-25
9,4,3,9,3,4,5,5,4,99,3,4,"0,2,4",2020-03-15
8,5,5,9,3,5,4,2,4,99,4,99,"0,3,4",2020-03-04
8,4,5,5,1,4,1,1,5,1,4,99,"0,1",2020-03-19
8,4,3,7,3,3,3,5,4,1,4,99,"0",2020-03-22
9,1,5,7,1,4,4,4,3,99,3,6,"2,3,4",2020-03-01
9,5,3,5,3,2,5,4,3,99,4,9,"1,4",2020-03-11
9,4,5,7,4,4,4,3,5,1,5,3,"1,2",2020-03-23
8,3,5,7,3,3,1,5,4,99,1,9,"4",2020-03-13
10,3,4,5,5,3,5,3,3,1,3,9,"0,3",2020-03-21
8,4,4,7,5,3,3,4,4,1,4,7,"0,1",2020-03-26
8,5,5,7,5,4,5,1,1,99,4,5,"3",2020-03-08
10,4,3,9,3,3,5,3,4,1,3,3,"2,3,4",2020-03-16
9,4,4,7,3,2,5,4,5,99,4,10,"0,1",2020-03-24
9,5,3,9,5,4,3,4,1,99,3,10,"1,2,3",2020-03-19
7,4,4,9,4,3,4,3,1,1,5,5,"0,1,2",2020-03-30
10,3,4,9,5,3,3,5,1,99,4,3,"0,1,4",2020-03-04
10,4,4,7,3,5,3,4,4,1,4,5,"0,1",2020-03-19
9,1,4,9,4,5,5,1,3,99,3,8,"2,3",2020-03-26
9,1,5,5,3,5,3,2,5,99,3,3,"0,4",2020-03-21
8,5,5,9,4,3,4,3,1,99,3,10,"0,1,2,4",2020-03-28
8,5,4,7,4,3,4,3,4,1,5,3,"0,1,2,4",2020-03-15
8,4,4,9,3,3,1,5,5,1,3,6,"0,1,2,3",2020-03-30
7,4,3,9,3,5,5,3,5,99,3,2,"",2020-03-19
7,4,5,5,1,3,5,5,5,1,4,1,"0,2,3,4",2020-03-05
8,4,3,9,3,5,4,3,3,99,3,6,"1,2,4",2020-03-25
9,3,3,5,1,4,4,2,5,1,3,1,"4",2020-03-22
8,3,1,9,4,2,4,1,4,1,4,3,"1,2,4",2020-03-14
9,4,3,9,5,3,3,1,5,1,4,8,"1,4",2020-03-07
7,3,4,10,5,2,4,4,3,1,5,4,"2,3",2020-03-07
9,3,4,7,4,4,4,4,4,1,4,2,"0,2,4",2020-03-10
9,5,3,9,4,3,3,1,1,1,4,6,"3",2020-03-14
10,4,3,7,4,5,4,2,3,99,4,6,"0,3,4",2020-03-15
9,4,3,7,3,3,3,5,3,99,3,5,"2,3,4",2020-03-17
8,3,3,7,1,3,3,3,3,1,3,5,"0,2,3,4",2020-03-02
9,5,1,10,3,3,4,3,4,1,1,2,"0,1,2",2020-03-07
7,4,3,5,5,3,1,2,1,1,4,3,"0,2,3",2020-03-07
7,1,4,9,3,3,1,2,1,1,4,2,"3,4",2020-03-15
8,3,5,5,3,3,3,5,3,1,1,99,"0,2,3",2020-03-27
9,4,3,5,4,3,3,5,3,1,3,6,"0,3,4",2020-03-16
9,4,5,9,1,2,3,4,5,1,1,4,"0,3",2020-03-09
8,3,4,7,4,4,4,4,1,1,5,1,"0,1,2",2020-03-17
8,4,3,9,1,2,3,2,5,1,4,3,"0,1,2,3,4",2020-03-06
8,3,3,10,4,2,4,4,1,99,4,6,"0,1,3,4",2020-03-11
7,4,3,9,3,4,1,3,4,1,4,7,"4",2020-03-05
8,1,1,7,4,4,3,4,3,1,3,5,"0,1,2,4",2020-03-01
10,4,4,9,3,3,4,2,5,1,3,8,"0,1,3,4",2020-03-04
9,3,1,5,4,3,4,3,3,99,4,4,"0,1,4",2020-03-30
10,3,3,10,3,2,3,2,4,99,3,7,"0",2020-03-07
7,1,4,7,1,4,1,2,1,1,3,10,"4",2020-03-01
7,4,1,9,5,3,4,3,3,1,4,5,"4",2020-03-26
9,4,4,7,3,3,4,5,3,1,1,9,"4",2020-03-22
9,5,1,7,3,4,3,3,1,1,3,2,"1,2,4",2020-03-22
8,4,4,7,4,3,1,1,3,99,3,2,"0,1,2,4",2020-03-18
7,5,5,9,4,4,5,4,4,99,1,4,"1,3",2020-03-24
8,5,5,10,1,4,3,4,5,99,3,2,"2,4",2020-03-28
9,3,3,7,5,4,4,4,4,99,5,8,"0,2,3",2020-03-17
7,5,5,10,5,4,5,4,3,1,1,9,"0,2,3",2020-03-14
8,3,1,9,1,3,3,4,4,99,5,5,"0,1,2,3,4",2020-03-25
8,5,3,9,3,5,3,3,3,99,4,7,"0,1,3,4",2020-03-12
8,4,1,10,5,2,4,3,3,99,3,7,"",2020-03-26
9,4,5,9,3,3,3,1,5,99,4,2,"0,1,2,4",2020-03-04
9,3,3,9,3,3,3,4,4,99,5,6,"0,3",2020-03-26
8,5,5,7,4,3,3,3,4,1,1,9,"1,2",2020-03-02
8,4,5,9,4,4,5,2,3,1,3,9,"2",2020-03-08
8,3,3,9,5,2,3,3,1,99,3,7,"1",2020-03-10
10,4,3,7,4,3,3,3,5,1,3,1,"0,1,3",2020-03-18
9,5,1,9,1,3,5,4,4,99,4,5,"3,4",2020-03-12
10,5,3,7,1,2,3,2,3,1,4,9,"1,4",2020-03-15
8,4,3,9,3,2,3,3,1,1,4,8,"3,4",2020-03-21
7,4,1,7,3,4,4,1,3,1,5,8,"2,3,4",2020-03-23
10,4,1,7,4,2,1,4,1,99,3,5,"1,4",2020-03-19
8,1,1,7,3,3,4,2,1,1,5,2,"1,3",2020-03-16
9,4,1,9,1,2,4,3,3,1,1,99,"1",2020-03-08
10,5,1,7,4,3,5,1,5,99,5,99,"0,1",2020-03-08
10,3,4,9,3,4,4,5,4,99,3,7,"0,2,3,4",2020-03-21
9,4,3,10,4,3,3,3,4,99,1,9,"0,2,3,4",2020-03-29
8,4,3,7,4,4,4,4,4,99,4,9,"0,2,3,4",2020-03-30
8,3,3,9,3,5,5,3,5,1,4,10,"0,1,2,3",2020-03-12
9,1,4,9,1,3,4,2,3,99,1,2,"0,3,4",2020-03-17
9,4,4,9,4,4,1,5,1,1,3,5,"0,2,4",2020-03-05
9,1,3,10,4,5,4,4,4,1,4,10,"1,4",2020-03-08
8,3,1,7,1,5,1,1,4,99,5,3,"1,2,3,4",2020-03-11
8,4,5,9,4,3,5,2,4,99,3,1,"2,3",2020-03-18
9,5,3,9,3,4,4,4,4,99,3,99,"1,2,4",2020-03-09
9,4,3,9,4,5,1,3,1,1,1,2,"0",2020-03-15
9,3,3,5,3,3,4,1,3,99,5,7,"2,3,4",2020-03-28
8,4,4,9,3,3,5,1,5,1,3,10,"0,1,2",2020-03-11
8,5,5,7,3,4,1,4,4,1,3,1,"0,1,4",2020-03-30
7,4,3,9,4,2,1,4,1,1,5,6,"3,4",2020-03-05
9,3,3,5,3,5,5,3,3,99,3,9,"0,1,2,3,4",2020-03-19
9,4,1,5,4,5,5,5,3,99,3,1,"0,1,2",2020-03-17
8,5,3,9,3,4,1,4,5,1,4,8,"4",2020-03-25
7,1,3,5,3,5,1,2,5,1,3,9,"0,1,2,3,4",2020-03-10
8,1,3,5,4,5,5,4,3,99,3,1,"0,1",2020-03-22
7,4,3,7,1,3,3,3,3,99,4,6,"3,4",2020-03-27
